Средство;Широта;Долгота
09 09:05:21  ;  55.568026667 ;  38.127105  
09 09:05:26  ;  55.568025 ;  38.127103333  
09 09:05:31  ;  55.568023333 ;  38.127103333  
09 09:05:36  ;  55.568023333 ;  38.127105  
09 09:05:41  ;  55.568023333 ;  38.127105  
09 09:05:46  ;  55.568068333 ;  38.127156667  
09 09:05:51  ;  55.568113333 ;  38.127208333  
09 09:05:56  ;  55.568113333 ;  38.127208333  
09 09:06:01  ;  55.568111667 ;  38.127208333  
09 09:06:06  ;  55.56811 ;  38.127206667  
09 09:06:11  ;  55.568105 ;  38.127205  
09 09:06:16  ;  55.568101667 ;  38.1272  
09 09:06:21  ;  55.568098333 ;  38.127195  
09 09:06:26  ;  55.568096667 ;  38.127191667  
09 09:06:31  ;  55.568096667 ;  38.12719  
09 09:06:36  ;  55.5681 ;  38.12719  
09 09:06:41  ;  55.5681 ;  38.127188333  
09 09:06:46  ;  55.568098333 ;  38.127185  
09 09:06:51  ;  55.568096667 ;  38.12718  
09 09:06:56  ;  55.568095 ;  38.127176667  
09 09:07:01  ;  55.568096667 ;  38.127175  
09 09:07:06  ;  55.568096667 ;  38.127176667  
09 09:07:11  ;  55.568096667 ;  38.127176667  
09 09:07:16  ;  55.568096667 ;  38.127176667  
09 09:07:21  ;  55.568096667 ;  38.127176667  
09 09:07:26  ;  55.568096667 ;  38.127176667  
09 09:07:31  ;  55.568098333 ;  38.127176667  
09 09:07:36  ;  55.568098333 ;  38.127176667  
09 09:07:41  ;  55.5681 ;  38.127176667  
09 09:07:46  ;  55.568095 ;  38.127171667  
09 09:07:51  ;  55.568091667 ;  38.127166667  
09 09:07:56  ;  55.568088333 ;  38.127161667  
09 09:08:01  ;  55.568086667 ;  38.127158333  
09 09:08:06  ;  55.568085 ;  38.127155  
09 09:08:11  ;  55.568085 ;  38.127151667  
09 09:08:16  ;  55.568083333 ;  38.12715  
09 09:08:21  ;  55.568083333 ;  38.127146667  
09 09:08:26  ;  55.568083333 ;  38.127143333  
09 09:08:31  ;  55.568083333 ;  38.127141667  
09 09:08:36  ;  55.568121667 ;  38.127205  
09 09:08:41  ;  55.568116667 ;  38.127201667  
09 09:08:46  ;  55.56811 ;  38.127195  
09 09:08:51  ;  55.568106667 ;  38.12719  
09 09:08:56  ;  55.568103333 ;  38.127185  
09 09:09:01  ;  55.568101667 ;  38.12718  
09 09:09:06  ;  55.5681 ;  38.127175  
09 09:09:11  ;  55.568098333 ;  38.127171667  
09 09:09:16  ;  55.568096667 ;  38.127166667  
09 09:09:21  ;  55.568096667 ;  38.127163333  
09 09:09:26  ;  55.568095 ;  38.12716  
09 09:09:31  ;  55.568095 ;  38.127156667  
09 09:09:36  ;  55.568093333 ;  38.127155  
09 09:09:41  ;  55.568093333 ;  38.127151667  
09 09:09:46  ;  55.568093333 ;  38.12715  
09 09:09:51  ;  55.568091667 ;  38.127148333  
09 09:09:56  ;  55.568095 ;  38.127148333  
09 09:10:01  ;  55.568098333 ;  38.12715  
09 09:10:06  ;  55.5681 ;  38.127151667  
09 09:10:11  ;  55.568101667 ;  38.127151667  
09 09:10:16  ;  55.568103333 ;  38.127155  
09 09:10:21  ;  55.568103333 ;  38.127151667  
09 09:10:26  ;  55.56809 ;  38.127031667  
09 09:10:31  ;  55.568048333 ;  38.126766667  
09 09:10:36  ;  55.568008333 ;  38.12642  
09 09:10:41  ;  55.567971667 ;  38.126063333  
09 09:10:46  ;  55.567938333 ;  38.125703333  
09 09:10:51  ;  55.567928333 ;  38.125366667  
09 09:10:56  ;  55.567905 ;  38.124991667  
09 09:11:01  ;  55.567886667 ;  38.124591667  
09 09:11:06  ;  55.567851667 ;  38.124173333  
09 09:11:11  ;  55.56782 ;  38.123733333  
09 09:11:16  ;  55.567801667 ;  38.123315  
09 09:11:21  ;  55.567785 ;  38.12292  
09 09:11:26  ;  55.567776667 ;  38.122565  
09 09:11:31  ;  55.567771667 ;  38.122436667  
09 09:11:36  ;  55.56777 ;  38.12244  
09 09:11:41  ;  55.567768333 ;  38.122445  
09 09:11:46  ;  55.567763333 ;  38.122448333  
09 09:11:51  ;  55.567763333 ;  38.122455  
09 09:11:56  ;  55.567763333 ;  38.122461667  
09 09:12:01  ;  55.567766667 ;  38.122466667  
09 09:12:06  ;  55.567768333 ;  38.12247  
09 09:12:11  ;  55.56777 ;  38.122471667  
09 09:12:16  ;  55.56777 ;  38.122473333  
09 09:12:21  ;  55.567771667 ;  38.122473333  
09 09:12:26  ;  55.567773333 ;  38.122475  
09 09:12:31  ;  55.567773333 ;  38.122476667  
09 09:12:36  ;  55.567773333 ;  38.122476667  
09 09:12:41  ;  55.567775 ;  38.122476667  
09 09:12:46  ;  55.567776667 ;  38.122476667  
09 09:12:51  ;  55.567778333 ;  38.122471667  
09 09:12:56  ;  55.567781667 ;  38.122471667  
09 09:13:01  ;  55.567783333 ;  38.12247  
09 09:13:06  ;  55.567783333 ;  38.122468333  
09 09:13:11  ;  55.567783333 ;  38.122471667  
09 09:13:16  ;  55.567781667 ;  38.122475  
09 09:13:21  ;  55.567778333 ;  38.122478333  
09 09:13:26  ;  55.567778333 ;  38.122483333  
09 09:13:31  ;  55.567776667 ;  38.122486667  
09 09:13:36  ;  55.567776667 ;  38.12249  
09 09:13:41  ;  55.567776667 ;  38.122493333  
09 09:13:46  ;  55.567776667 ;  38.122496667  
09 09:13:51  ;  55.567776667 ;  38.122498333  
09 09:13:56  ;  55.567776667 ;  38.1225  
09 09:14:01  ;  55.567778333 ;  38.122501667  
09 09:14:06  ;  55.567778333 ;  38.1225  
09 09:14:11  ;  55.567778333 ;  38.122498333  
09 09:14:16  ;  55.567781667 ;  38.122501667  
09 09:14:21  ;  55.567785 ;  38.122501667  
09 09:14:26  ;  55.567786667 ;  38.122501667  
09 09:14:31  ;  55.567788333 ;  38.122498333  
09 09:14:36  ;  55.567785 ;  38.122495  
